File Name,Object,Object_Index,Label,Probability
../imgs/nom_ref_imgs/scaled/sparrow_scaled.jpg,sparrow,80,"brambling, Fringilla montifringilla",0.37638
../imgs/nom_ref_imgs/scaled/sparrow_scaled.jpg,sparrow,80,magpie,0.170657
../imgs/nom_ref_imgs/scaled/sparrow_scaled.jpg,sparrow,80,"house finch, linnet, Carpodacus mexicanus",0.117602
../imgs/nom_ref_imgs/scaled/sparrow_scaled.jpg,sparrow,80,"junco, snowbird",0.106213
../imgs/nom_ref_imgs/scaled/sparrow_scaled.jpg,sparrow,80,"robin, American robin, Turdus migratorius",0.0541474
../imgs/nom_ref_imgs/scaled/sparrow_scaled.jpg,sparrow,80,jay,0.0318833
../imgs/nom_ref_imgs/scaled/sparrow_scaled.jpg,sparrow,80,"indigo bunting, indigo finch, indigo bird, Passerina cyanea",0.0266073
../imgs/nom_ref_imgs/scaled/sparrow_scaled.jpg,sparrow,80,"goldfinch, Carduelis carduelis",0.0265866
../imgs/nom_ref_imgs/scaled/sparrow_scaled.jpg,sparrow,80,chickadee,0.025705
../imgs/nom_ref_imgs/scaled/sparrow_scaled.jpg,sparrow,80,bulbul,0.0180008
../imgs/nom_ref_imgs/scaled/sheep_scaled.jpg,sheep,79,Mexican hairless,0.62238
../imgs/nom_ref_imgs/scaled/sheep_scaled.jpg,sheep,79,triceratops,0.0560268
../imgs/nom_ref_imgs/scaled/sheep_scaled.jpg,sheep,79,"African grey, African gray, Psittacus erithacus",0.0161137
../imgs/nom_ref_imgs/scaled/sheep_scaled.jpg,sheep,79,"piggy bank, penny bank",0.0120191
../imgs/nom_ref_imgs/scaled/sheep_scaled.jpg,sheep,79,"ocarina, sweet potato",0.0113361
../imgs/nom_ref_imgs/scaled/sheep_scaled.jpg,sheep,79,"bonnet, poke bonnet",0.0111701
../imgs/nom_ref_imgs/scaled/sheep_scaled.jpg,sheep,79,standard poodle,0.0110519
../imgs/nom_ref_imgs/scaled/sheep_scaled.jpg,sheep,79,schipperke,0.0107781
../imgs/nom_ref_imgs/scaled/sheep_scaled.jpg,sheep,79,kelpie,0.00995041
../imgs/nom_ref_imgs/scaled/sheep_scaled.jpg,sheep,79,"teddy, teddy bear",0.00730783
../imgs/nom_ref_imgs/scaled/greyhound_scaled.jpg,greyhound,40,"Scottish deerhound, deerhound",0.385811
../imgs/nom_ref_imgs/scaled/greyhound_scaled.jpg,greyhound,40,whippet,0.20986
../imgs/nom_ref_imgs/scaled/greyhound_scaled.jpg,greyhound,40,"Saluki, gazelle hound",0.200807
../imgs/nom_ref_imgs/scaled/greyhound_scaled.jpg,greyhound,40,Italian greyhound,0.104902
