File Name,Object,Object_Index,Label,Probability
./nom_ref_imgs/resize_by_larger_dim/sparrow_scaled.jpg,sparrow,80,"brambling, Fringilla montifringilla",0.37638
./nom_ref_imgs/resize_by_larger_dim/sparrow_scaled.jpg,sparrow,80,magpie,0.170657
./nom_ref_imgs/resize_by_larger_dim/sparrow_scaled.jpg,sparrow,80,"house finch, linnet, Carpodacus mexicanus",0.117602
./nom_ref_imgs/resize_by_larger_dim/sparrow_scaled.jpg,sparrow,80,"junco, snowbird",0.106213
./nom_ref_imgs/resize_by_larger_dim/sparrow_scaled.jpg,sparrow,80,"robin, American robin, Turdus migratorius",0.0541474
./nom_ref_imgs/resize_by_larger_dim/sparrow_scaled.jpg,sparrow,80,jay,0.0318833
./nom_ref_imgs/resize_by_larger_dim/sparrow_scaled.jpg,sparrow,80,"indigo bunting, indigo finch, indigo bird, Passerina cyanea",0.0266073
./nom_ref_imgs/resize_by_larger_dim/sparrow_scaled.jpg,sparrow,80,"goldfinch, Carduelis carduelis",0.0265866
./nom_ref_imgs/resize_by_larger_dim/sparrow_scaled.jpg,sparrow,80,chickadee,0.025705
./nom_ref_imgs/resize_by_larger_dim/sparrow_scaled.jpg,sparrow,80,bulbul,0.0180008
./nom_ref_imgs/resize_by_larger_dim/sheep_scaled.jpg,sheep,79,Mexican hairless,0.62238
./nom_ref_imgs/resize_by_larger_dim/sheep_scaled.jpg,sheep,79,triceratops,0.0560268
./nom_ref_imgs/resize_by_larger_dim/sheep_scaled.jpg,sheep,79,"African grey, African gray, Psittacus erithacus",0.0161137
./nom_ref_imgs/resize_by_larger_dim/sheep_scaled.jpg,sheep,79,"piggy bank, penny bank",0.0120191
./nom_ref_imgs/resize_by_larger_dim/sheep_scaled.jpg,sheep,79,"ocarina, sweet potato",0.0113361
./nom_ref_imgs/resize_by_larger_dim/sheep_scaled.jpg,sheep,79,"bonnet, poke bonnet",0.0111701
./nom_ref_imgs/resize_by_larger_dim/sheep_scaled.jpg,sheep,79,standard poodle,0.0110519
./nom_ref_imgs/resize_by_larger_dim/sheep_scaled.jpg,sheep,79,schipperke,0.0107781
./nom_ref_imgs/resize_by_larger_dim/sheep_scaled.jpg,sheep,79,kelpie,0.00995041
./nom_ref_imgs/resize_by_larger_dim/sheep_scaled.jpg,sheep,79,"teddy, teddy bear",0.00730783
./nom_ref_imgs/resize_by_larger_dim/greyhound_scaled.jpg,greyhound,40,"Scottish deerhound, deerhound",0.385811
./nom_ref_imgs/resize_by_larger_dim/greyhound_scaled.jpg,greyhound,40,whippet,0.20986
./nom_ref_imgs/resize_by_larger_dim/greyhound_scaled.jpg,greyhound,40,"Saluki, gazelle hound",0.200807
./nom_ref_imgs/resize_by_larger_dim/greyhound_scaled.jpg,greyhound,40,Italian greyhound,0.104902
./nom_ref_imgs/resize_by_larger_dim/greyhound_scaled.jpg,greyhound,40,Mexican hairless,0.0270563
./nom_ref_imgs/resize_by_larger_dim/greyhound_scaled.jpg,greyhound,40,Irish wolfhound,0.0220532
./nom_ref_imgs/resize_by_larger_dim/greyhound_scaled.jpg,greyhound,40,Great Dane,0.0176432
./nom_ref_imgs/resize_by_larger_dim/greyhound_scaled.jpg,greyhound,40,toy terrier,0.00533971
./nom_ref_imgs/resize_by_larger_dim/greyhound_scaled.jpg,greyhound,40,Egyptian cat,0.00441297
./nom_ref_imgs/resize_by_larger_dim/greyhound_scaled.jpg,greyhound,40,flat-coated retriever,0.00401244
./nom_ref_imgs/resize_by_larger_dim/poloShirt_scaled.jpg,poloshirt,15,trench coat,0.409744
./nom_ref_imgs/resize_by_larger_dim/poloShirt_scaled.jpg,poloshirt,15,"jersey, T-shirt, tee shirt",0.235236
./nom_ref_imgs/resize_by_larger_dim/poloShirt_scaled.jpg,poloshirt,15,"suit, suit of clothes",0.134105
./nom_ref_imgs/resize_by_larger_dim/poloShirt_scaled.jpg,poloshirt,15,fur coat,0.0709569
./nom_ref_imgs/resize_by_larger_dim/poloShirt_scaled.jpg,poloshirt,15,sweatshirt,0.0440575
./nom_ref_imgs/resize_by_larger_dim/poloShirt_scaled.jpg,poloshirt,15,"wool, woolen, woollen",0.0138355
./nom_ref_imgs/resize_by_larger_dim/poloShirt_scaled.jpg,poloshirt,15,"academic gown, academic robe, judge's robe",0.0138353
./nom_ref_imgs/resize_by_larger_dim/poloShirt_scaled.jpg,poloshirt,15,poncho,0.0125262
./nom_ref_imgs/resize_by_larger_dim/poloShirt_scaled.jpg,poloshirt,15,velvet,0.00969056
./nom_ref_imgs/resize_by_larger_dim/poloShirt_scaled.jpg,poloshirt,15,cloak,0.00854078
